Trial,letras,letra_pregunta,posicion,respuesta,tiempo_rta
1,"['V', 'L', 'Y', 'N', 'P', 'G', 'T']",W,7,2,1.6690772001165897
2,"['Z', 'Y', 'B', 'J', 'P', 'L', 'S']",S,7,1,0.5898583999369293
3,"['Y', 'J', 'V', 'H', 'X', 'L', 'R']",T,7,2,0.8416353999637067
4,"['Z', 'C', 'J', 'B', 'R', 'H', 'D']",D,7,1,1.250370099907741
5,"['P', 'Q', 'J', 'D', 'M', 'X', 'V']",N,7,2,1.9024147000163794
6,"['V', 'S', 'R', 'J', 'M', 'L', 'F']",B,7,2,0.8245023000054061
7,"['K', 'C', 'J', 'T', 'B', 'Z', 'S']",J,3,1,0.9825170999392867
8,"['B', 'D', 'M', 'Q', 'H', 'S', 'R']",B,1,1,0.8528067001607269
9,"['Q', 'R', 'D', 'H', 'T', 'C', 'S']",P,7,3,1.6365621997974813
10,"['F', 'M', 'T', 'Q', 'J', 'C', 'K']",K,7,1,1.5432957999873906
11,"['J', 'F', 'S', 'N', 'P', 'W', 'H']",P,5,1,0.9366630001459271
12,"['W', 'K', 'F', 'H', 'D', 'B', 'C']",B,6,0,3.145600999938324
13,"['S', 'M', 'Y', 'F', 'J', 'P', 'W']",Y,3,0,0.8269865999463946
14,"['V', 'H', 'C', 'S', 'R', 'P', 'N']",H,2,0,1.0529698999598622
15,"['K', 'H', 'D', 'T', 'P', 'W', 'Y']",W,6,0,0.8502907999791205
16,"['S', 'M', 'J', 'W', 'K', 'G', 'Q']",B,7,2,0.9583680999930948
17,"['F', 'V', 'M', 'P', 'J', 'B', 'Q']",V,2,0,0.8857829999178648
18,"['P', 'C', 'F', 'D', 'Y', 'T', 'N']",Y,5,1,1.478118000086397
19,"['Z', 'Q', 'Y', 'F', 'W', 'G', 'R']",G,6,1,0.9159655999392271
20,"['Y', 'S', 'W', 'N', 'T', 'R', 'H']",N,4,1,0.9635707999113947
21,"['C', 'H', 'K', 'V', 'S', 'P', 'F']",V,4,0,1.0727500999346375
22,"['X', 'H', 'T', 'D', 'L', 'Z', 'F']",H,2,1,1.0665555000305176
23,"['K', 'C', 'R', 'B', 'W', 'V', 'T']",W,5,0,0.7927218000404537
24,"['T', 'D', 'R', 'V', 'X', 'J', 'B']",T,1,1,1.1371313000563532
25,"['W', 'D', 'R', 'T', 'B', 'K', 'G']",Y,7,2,0.9043552000075579
26,"['F', 'J', 'Q', 'G', 'T', 'M', 'V']",Q,3,0,0.839526099851355
27,"['R', 'Z', 'G', 'N', 'C', 'L', 'J']",V,7,2,0.9839425999671221
28,"['T', 'Y', 'J', 'C', 'N', 'L', 'D']",C,4,0,0.8019659998826683
29,"['T', 'X', 'L', 'H', 'S', 'J', 'D']",G,7,2,0.8497750000096858
30,"['K', 'Q', 'M', 'G', 'W', 'R', 'J']",K,1,0,0.8061814000830054
