Trial,letras,letra_pregunta,posicion,respuesta,tiempo_rta
1,"['D', 'G', 'Z', 'J', 'X', 'F', 'T']",L,7,2,1.237165099941194
2,"['B', 'C', 'H', 'X', 'W', 'Y', 'N']",N,7,1,1.353312199935317
3,"['R', 'V', 'F', 'Z', 'P', 'S', 'Y']",B,7,3,1.327830000082031
4,"['G', 'B', 'L', 'V', 'Z', 'W', 'R']",G,1,0,1.3635215999092907
5,"['S', 'P', 'B', 'Z', 'W', 'M', 'F']",H,7,2,1.029266299912706
6,"['P', 'M', 'C', 'L', 'D', 'K', 'V']",Q,7,2,0.9805759999435395
7,"['Q', 'N', 'C', 'Z', 'Y', 'S', 'W']",W,7,0,1.0700307001825422
8,"['Y', 'H', 'W', 'D', 'L', 'V', 'X']",L,5,1,1.2515169000253081
9,"['Z', 'L', 'V', 'C', 'B', 'H', 'F']",L,2,1,1.1222252000588924
10,"['Z', 'K', 'D', 'F', 'P', 'T', 'Y']",B,7,2,0.9422526999842376
11,"['Y', 'C', 'H', 'W', 'P', 'V', 'S']",V,6,0,1.049364099977538
12,"['X', 'L', 'V', 'R', 'K', 'Z', 'D']",L,2,1,1.4973649000748992
13,"['G', 'N', 'Y', 'J', 'P', 'T', 'R']",W,7,2,0.8024192000739276
14,"['B', 'J', 'Q', 'N', 'W', 'S', 'M']",Q,3,0,1.1208870001137257
15,"['S', 'Z', 'J', 'P', 'L', 'W', 'R']",F,7,2,0.7736196999903768
16,"['Y', 'B', 'N', 'Z', 'V', 'L', 'F']",H,7,2,1.3459491999819875
17,"['Y', 'F', 'Q', 'K', 'L', 'G', 'X']",K,4,1,1.8333058001007885
18,"['R', 'W', 'Z', 'S', 'F', 'M', 'K']",M,6,0,1.3225590002257377
19,"['G', 'X', 'K', 'H', 'Z', 'J', 'P']",H,4,0,1.6812512001488358
20,"['R', 'M', 'T', 'P', 'Q', 'B', 'C']",B,6,1,1.2308282000012696
21,"['G', 'M', 'K', 'C', 'J', 'P', 'R']",C,4,1,1.279930799966678
22,"['C', 'T', 'J', 'W', 'K', 'Z', 'V']",V,7,0,1.031900899950415
23,"['B', 'K', 'P', 'T', 'C', 'J', 'D']",P,3,0,0.8050741001497954
24,"['W', 'V', 'L', 'D', 'N', 'J', 'R']",N,5,1,1.5912191001698375
25,"['Q', 'S', 'Z', 'J', 'L', 'Y', 'M']",Q,1,1,1.1431630000006407
26,"['K', 'Y', 'B', 'F', 'R', 'H', 'X']",B,3,1,1.2573925000615418
27,"['C', 'W', 'P', 'G', 'M', 'R', 'H']",L,7,2,0.9590642999392003
28,"['N', 'Z', 'Q', 'L', 'R', 'Y', 'P']",N,1,0,0.8052840000018477
29,"['S', 'D', 'W', 'P', 'Y', 'F', 'T']",Y,5,0,2.9850014001131058
30,"['Y', 'W', 'Z', 'M', 'C', 'N', 'D']",W,2,1,1.253671000013128
