Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['C', 'W', 'R', 'D', 'P', 'Z', 'K']",R,3,1,1.4598183000343852
2,"['N', 'Y', 'P', 'W', 'K', 'J', 'H']",V,5,3,1.2507957000052556
3,"['Q', 'N', 'T', 'K', 'M', 'B', 'W']",N,2,1,1.645859299984295
4,"['Y', 'W', 'C', 'D', 'N', 'X', 'G']",Y,1,0,1.882844900013879
5,"['V', 'M', 'Y', 'T', 'N', 'B', 'W']",N,5,1,0.9663640999933705
6,"['X', 'W', 'R', 'H', 'B', 'V', 'D']",R,3,0,2.8773861000081524
7,"['K', 'F', 'S', 'L', 'P', 'W', 'R']",W,6,0,3.2124951999867335
8,"['P', 'L', 'N', 'B', 'T', 'M', 'C']",B,4,1,1.6328756000148132
9,"['X', 'V', 'S', 'K', 'R', 'W', 'H']",Y,5,2,3.918080799980089
10,"['F', 'L', 'B', 'T', 'N', 'Q', 'V']",W,5,2,1.9230487000313587
11,"['W', 'X', 'Q', 'L', 'F', 'P', 'B']",K,5,2,1.3980273000197485
12,"['V', 'S', 'R', 'H', 'L', 'Y', 'Z']",H,4,1,1.1869415999972261
13,"['Y', 'H', 'P', 'M', 'D', 'J', 'X']",Y,1,0,1.2498539000516757
14,"['G', 'F', 'R', 'V', 'D', 'B', 'H']",H,7,1,1.4419392999843694
15,"['D', 'R', 'X', 'Z', 'S', 'L', 'F']",L,6,1,1.8134014999959618
16,"['S', 'P', 'L', 'D', 'J', 'F', 'R']",D,4,1,1.2581614999799058
17,"['K', 'Y', 'Z', 'P', 'Q', 'L', 'G']",W,5,2,1.4505263000028208
18,"['J', 'Z', 'T', 'L', 'P', 'B', 'D']",F,5,2,1.6320169999962673
19,"['C', 'X', 'M', 'B', 'Q', 'R', 'T']",R,6,1,0.7440000000060536
20,"['S', 'J', 'D', 'K', 'B', 'Y', 'L']",J,2,0,0.8974480999750085
21,"['W', 'D', 'T', 'M', 'P', 'H', 'B']",B,7,1,0.6793665000004694
22,"['T', 'X', 'G', 'J', 'B', 'K', 'W']",Q,5,2,0.9981681000208482
23,"['X', 'P', 'J', 'N', 'C', 'M', 'K']",S,5,2,1.26781089999713
24,"['V', 'J', 'Z', 'D', 'R', 'M', 'Q']",R,5,1,0.7250939999939874
25,"['P', 'R', 'Y', 'T', 'Z', 'G', 'C']",F,5,2,1.6838590999832377
26,"['R', 'C', 'X', 'M', 'F', 'J', 'T']",C,2,0,1.4044554000138305
27,"['B', 'T', 'V', 'R', 'K', 'Y', 'X']",B,1,1,1.0583902999642305
28,"['R', 'C', 'S', 'M', 'P', 'T', 'Y']",Y,7,1,0.5454416000284255
29,"['V', 'T', 'J', 'N', 'B', 'C', 'K']",J,3,0,1.0940195999573916
30,"['H', 'N', 'K', 'J', 'V', 'C', 'F']",V,5,0,1.752236999978777
