Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['L', 'R', 'J', 'Q', 'Y', 'Z', 'W']",Z,6,0,5.263180399982957
2,"['B', 'K', 'L', 'M', 'Z', 'T', 'Q']",B,1,0,5.132768900017254
3,"['H', 'B', 'J', 'Q', 'F', 'Z', 'V']",P,3,2,1.7026861000049394
4,"['P', 'H', 'D', 'N', 'Q', 'M', 'T']",F,3,3,1.097013499995228
5,"['P', 'V', 'C', 'S', 'R', 'Y', 'D']",D,7,0,1.5966646000160836
6,"['V', 'R', 'C', 'K', 'M', 'W', 'S']",W,6,1,1.1970770999905653
7,"['F', 'P', 'J', 'N', 'L', 'W', 'Q']",V,3,2,2.877797900000587
8,"['N', 'G', 'D', 'R', 'M', 'C', 'K']",D,3,0,2.016365699993912
9,"['D', 'W', 'P', 'J', 'L', 'Y', 'S']",L,5,0,2.50044419997721
10,"['V', 'R', 'W', 'B', 'K', 'Z', 'L']",K,5,0,1.785107399977278
11,"['R', 'Q', 'F', 'H', 'D', 'P', 'T']",F,3,0,1.6344501999847125
12,"['C', 'Z', 'D', 'P', 'S', 'K', 'M']",M,7,1,1.5876913999964017
13,"['L', 'V', 'J', 'G', 'X', 'B', 'Z']",G,4,1,1.5373482999857515
14,"['V', 'T', 'Z', 'F', 'D', 'N', 'P']",G,3,3,1.5282953999994788
15,"['H', 'K', 'C', 'Q', 'V', 'T', 'J']",K,2,1,3.5282382000004873
16,"['S', 'F', 'V', 'C', 'K', 'R', 'X']",S,1,1,1.385615399980452
17,"['S', 'R', 'B', 'G', 'L', 'M', 'C']",S,1,1,1.4393947999924421
18,"['R', 'P', 'S', 'H', 'Z', 'W', 'M']",B,3,2,1.9796063999820035
19,"['P', 'Y', 'X', 'B', 'G', 'Z', 'R']",B,4,1,1.5658627999946475
20,"['Z', 'F', 'J', 'M', 'H', 'C', 'V']",B,3,2,1.5924031999893486
21,"['W', 'T', 'K', 'F', 'Q', 'H', 'S']",T,2,0,1.8137302999966778
22,"['M', 'H', 'S', 'F', 'Y', 'X', 'W']",K,3,2,1.6496870999981184
23,"['K', 'Q', 'R', 'F', 'H', 'D', 'G']",C,3,2,1.7551815999904647
24,"['J', 'G', 'L', 'S', 'F', 'T', 'K']",T,6,0,1.4403460000175983
25,"['P', 'W', 'J', 'C', 'V', 'S', 'Z']",Z,7,0,1.289708399999654
26,"['R', 'N', 'M', 'S', 'B', 'K', 'H']",M,3,1,1.358977199997753
27,"['T', 'J', 'K', 'Q', 'B', 'L', 'X']",Q,4,1,1.2980327999975998
28,"['H', 'P', 'M', 'L', 'Z', 'G', 'Q']",S,3,2,2.9503425000002608
29,"['H', 'C', 'P', 'M', 'N', 'D', 'J']",C,2,1,3.049480100016808
30,"['R', 'Y', 'Z', 'Q', 'S', 'P', 'M']",S,5,1,1.2164678999979515
