Trial,letras,pregunta,respuesta,tiempo
1,"['M', 'B', 'J', 'G', 'Y', 'C', 'W']",C,1,1.242329000000609
2,"['B', 'D', 'Z', 'J', 'T', 'Y', 'N']",B,1,2.1428827999916393
3,"['T', 'M', 'R', 'G', 'W', 'Q', 'H']",C,3,1.0899250000074971
4,"['H', 'K', 'L', 'J', 'T', 'Y', 'S']",B,3,1.0832802999939304
5,"['D', 'Z', 'N', 'R', 'Q', 'G', 'H']",H,1,0.8071371999976691
6,"['B', 'Y', 'G', 'C', 'T', 'W', 'J']",R,2,1.0016953999875113
7,"['Q', 'J', 'G', 'V', 'B', 'T', 'M']",D,2,1.2372847000078764
8,"['S', 'B', 'N', 'T', 'D', 'L', 'M']",J,2,1.4451613000128418
9,"['J', 'N', 'Z', 'P', 'L', 'C', 'K']",N,1,0.8753177000035066
10,"['T', 'H', 'Q', 'J', 'B', 'X', 'Z']",Z,1,0.6478759000019636
11,"['R', 'N', 'C', 'G', 'X', 'H', 'V']",C,0,1.2141208999964874
12,"['R', 'V', 'T', 'C', 'F', 'J', 'X']",C,1,0.908319100009976
13,"['H', 'J', 'M', 'G', 'K', 'R', 'Z']",K,0,1.066496699990239
14,"['G', 'B', 'F', 'D', 'K', 'T', 'W']",D,1,0.8530190000019502
15,"['S', 'P', 'B', 'N', 'J', 'W', 'F']",W,1,0.7277714999800082
16,"['C', 'B', 'K', 'W', 'L', 'Z', 'G']",B,0,1.6310379999922588
17,"['T', 'Q', 'F', 'M', 'D', 'C', 'X']",P,2,0.9948081999900751
18,"['L', 'Y', 'N', 'V', 'Z', 'D', 'S']",N,0,0.9987185999925714
19,"['Y', 'D', 'X', 'F', 'H', 'T', 'S']",F,0,1.920229899988044
20,"['C', 'Q', 'G', 'Y', 'M', 'S', 'W']",M,0,1.0221148000273388
21,"['M', 'T', 'Q', 'F', 'X', 'H', 'N']",X,1,1.1523977000033483
22,"['Y', 'V', 'Q', 'R', 'M', 'H', 'L']",Y,1,1.1340764000196941
23,"['L', 'G', 'C', 'D', 'P', 'Z', 'N']",L,1,0.889448200003244
24,"['G', 'K', 'S', 'W', 'V', 'J', 'M']",T,2,1.0340768999885768
25,"['L', 'G', 'P', 'K', 'D', 'B', 'M']",P,1,0.6418253000010736
26,"['T', 'Q', 'J', 'S', 'C', 'B', 'W']",V,2,0.9200334000051953
27,"['Y', 'Q', 'N', 'S', 'D', 'V', 'B']",Q,0,0.9433685000112746
28,"['N', 'K', 'Q', 'G', 'W', 'D', 'Y']",D,1,0.7445552000135649
29,"['X', 'S', 'T', 'W', 'N', 'D', 'V']",L,2,0.7635300999972969
30,"['G', 'X', 'M', 'B', 'Y', 'D', 'J']",J,1,0.679455000004964
