Trial,letras,pregunta,respuesta,tiempo
1,"['J', 'Q', 'N', 'M', 'C', 'V', 'S']",M,0,1.0198799000063445
2,"['F', 'R', 'N', 'K', 'X', 'G', 'P']",N,0,2.5796377999940887
3,"['V', 'X', 'G', 'Z', 'Y', 'S', 'B']",D,2,1.1134217000217177
4,"['L', 'M', 'K', 'Z', 'B', 'V', 'C']",K,1,1.056268899992574
5,"['C', 'F', 'V', 'S', 'D', 'Y', 'G']",C,1,4.290034000005107
6,"['W', 'M', 'G', 'J', 'B', 'R', 'Z']",R,1,1.0193636000039987
7,"['T', 'J', 'N', 'P', 'S', 'R', 'Q']",S,1,0.9481177999987267
8,"['X', 'N', 'G', 'Z', 'W', 'D', 'R']",D,1,2.3695755999942776
9,"['K', 'B', 'H', 'X', 'S', 'R', 'T']",X,0,1.8469844999781344
10,"['H', 'L', 'W', 'Y', 'D', 'J', 'K']",B,2,2.9513822000008076
11,"['Q', 'N', 'Y', 'S', 'D', 'F', 'C']",B,2,0.9955988999863621
12,"['T', 'M', 'W', 'C', 'P', 'Q', 'N']",M,0,0.9236852999893017
13,"['J', 'P', 'F', 'X', 'D', 'L', 'Z']",P,1,0.862005400005728
14,"['L', 'R', 'Y', 'W', 'F', 'M', 'H']",Y,1,1.1495390000054613
15,"['J', 'M', 'D', 'N', 'F', 'C', 'Q']",F,1,1.2706773999962024
16,"['Z', 'K', 'N', 'H', 'W', 'Y', 'C']",C,1,0.6514781000150833
17,"['W', 'P', 'H', 'L', 'F', 'X', 'R']",X,1,0.8362007999967318
18,"['L', 'K', 'P', 'Z', 'X', 'R', 'Q']",H,2,1.783532000001287
19,"['R', 'X', 'H', 'C', 'G', 'F', 'K']",X,1,1.2166236999910325
20,"['D', 'Z', 'X', 'M', 'T', 'G', 'Q']",T,1,0.7821493000083137
21,"['H', 'X', 'B', 'Z', 'W', 'J', 'D']",H,1,0.7388230999931693
22,"['K', 'M', 'J', 'F', 'S', 'W', 'D']",X,3,0.8330246999976225
23,"['X', 'T', 'F', 'H', 'C', 'Y', 'D']",H,1,0.9499511000176426
24,"['G', 'V', 'W', 'B', 'D', 'N', 'C']",F,2,0.8245621000241954
25,"['C', 'D', 'K', 'W', 'J', 'N', 'R']",C,1,0.6980398999876343
26,"['G', 'J', 'T', 'F', 'Q', 'N', 'Z']",K,3,0.8516380000219215
27,"['G', 'Z', 'S', 'T', 'F', 'J', 'Y']",Y,1,1.1799953000154346
28,"['L', 'D', 'G', 'Q', 'M', 'V', 'S']",W,3,1.9120776999916416
29,"['B', 'M', 'R', 'J', 'W', 'N', 'P']",P,1,0.7999810000183061
30,"['K', 'V', 'M', 'J', 'D', 'R', 'H']",N,3,3.5621655999857467
