Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['V', 'P', 'W', 'M', 'H', 'C', 'Z']",M,4,0,3.8166872000001604
2,"['K', 'L', 'V', 'N', 'M', 'H', 'R']",V,3,1,1.1073071999999229
3,"['J', 'W', 'D', 'Q', 'Z', 'Y', 'R']",Z,5,1,1.41097020000052
4,"['D', 'Z', 'L', 'P', 'Y', 'R', 'H']",Z,2,1,0.9874484000010852
5,"['M', 'J', 'K', 'Y', 'R', 'B', 'L']",J,2,1,3.5709654000002047
6,"['P', 'L', 'G', 'B', 'X', 'V', 'D']",Q,2,2,2.345291499999803
7,"['K', 'F', 'M', 'X', 'B', 'R', 'G']",R,6,0,2.6865178999996715
8,"['D', 'K', 'R', 'Y', 'G', 'C', 'Q']",T,2,2,1.5098197000006621
9,"['Y', 'M', 'H', 'L', 'W', 'N', 'S']",V,2,2,1.2904312999999092
10,"['H', 'Q', 'J', 'M', 'V', 'K', 'D']",Q,2,1,1.083061400000588
11,"['W', 'D', 'F', 'S', 'P', 'L', 'Q']",W,1,1,1.540807000001223
12,"['V', 'R', 'W', 'J', 'Q', 'S', 'B']",S,6,1,1.2559851999994862
13,"['R', 'N', 'G', 'X', 'Y', 'T', 'C']",R,1,0,2.094710200000918
14,"['N', 'R', 'S', 'F', 'J', 'K', 'C']",M,2,2,1.5099792999990314
15,"['F', 'V', 'X', 'P', 'C', 'Q', 'J']",W,2,2,1.1025824999996985
16,"['R', 'N', 'J', 'T', 'P', 'Y', 'V']",J,3,1,1.1213446000001568
17,"['N', 'T', 'Q', 'F', 'Z', 'V', 'W']",W,7,1,1.4301648000000569
18,"['L', 'X', 'B', 'F', 'H', 'Z', 'D']",H,5,1,1.2008748000007472
19,"['W', 'K', 'S', 'N', 'Z', 'H', 'G']",N,4,1,0.8989689999998518
20,"['X', 'V', 'G', 'H', 'T', 'Z', 'D']",T,5,1,4.262155899999925
21,"['N', 'T', 'B', 'C', 'H', 'Q', 'S']",W,2,2,0.9506091000002925
22,"['D', 'V', 'B', 'H', 'Y', 'R', 'Z']",R,6,1,0.8703956999997899
23,"['G', 'L', 'Z', 'R', 'J', 'X', 'Y']",Y,7,1,1.226241200000004
24,"['F', 'M', 'V', 'L', 'N', 'R', 'Q']",Y,2,2,1.1059914999987086
25,"['G', 'C', 'T', 'R', 'K', 'J', 'D']",Z,2,2,3.136758700000428
26,"['G', 'W', 'P', 'C', 'Z', 'L', 'Q']",X,2,2,1.2460080000000744
27,"['R', 'P', 'Q', 'M', 'H', 'V', 'J']",M,4,0,1.356036099999983
28,"['G', 'R', 'Q', 'V', 'K', 'S', 'C']",Q,3,1,1.4493550999995932
29,"['F', 'S', 'V', 'R', 'Q', 'P', 'T']",F,1,1,2.243411500001457
30,"['H', 'L', 'M', 'R', 'D', 'F', 'Z']",Z,7,1,1.1847834999989573
