Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['C', 'B', 'T', 'Q', 'J', 'K', 'R']",J,5,0,0.9542685999986134
2,"['Y', 'Q', 'C', 'R', 'X', 'M', 'D']",P,2,2,0.7458934999995108
3,"['X', 'P', 'V', 'F', 'M', 'Y', 'C']",F,4,1,0.8110284000031243
4,"['Z', 'F', 'W', 'V', 'B', 'Y', 'X']",R,2,2,0.8653728999997838
5,"['Q', 'V', 'P', 'C', 'K', 'D', 'T']",B,2,2,1.8760441999984323
6,"['X', 'D', 'P', 'Y', 'Z', 'G', 'B']",X,1,0,0.9486419999993814
7,"['G', 'Q', 'Y', 'S', 'M', 'X', 'N']",X,6,1,0.9784668000029342
8,"['Z', 'N', 'L', 'B', 'Y', 'X', 'F']",F,7,1,0.7060587999985728
9,"['L', 'P', 'Q', 'C', 'J', 'B', 'R']",B,6,1,0.7475972000029287
10,"['C', 'F', 'R', 'M', 'X', 'Q', 'J']",R,3,0,1.003657799999928
11,"['K', 'X', 'T', 'V', 'F', 'P', 'C']",K,1,0,1.3076875000006112
12,"['T', 'K', 'R', 'M', 'G', 'J', 'V']",J,6,1,0.7432535000007192
13,"['L', 'H', 'D', 'B', 'X', 'Y', 'Z']",Z,7,1,0.5627080999984173
14,"['D', 'H', 'K', 'S', 'L', 'Q', 'F']",H,2,1,0.8916652000007161
15,"['V', 'T', 'C', 'W', 'J', 'D', 'M']",J,5,1,0.6682966000007582
16,"['K', 'H', 'L', 'S', 'W', 'P', 'Z']",K,1,0,1.1147004000013112
17,"['B', 'K', 'X', 'Z', 'H', 'S', 'J']",X,3,1,1.0635020000008808
18,"['S', 'C', 'D', 'L', 'V', 'K', 'Y']",L,4,1,0.6260421999977552
19,"['D', 'N', 'K', 'M', 'Y', 'H', 'B']",N,2,0,0.8612780999974348
20,"['X', 'C', 'Y', 'T', 'K', 'V', 'P']",B,2,3,0.8869916000003286
21,"['K', 'H', 'Q', 'R', 'N', 'V', 'T']",X,2,2,0.9471726000010676
22,"['S', 'Z', 'H', 'W', 'Y', 'F', 'Q']",H,3,0,1.2815967999995337
23,"['S', 'K', 'G', 'M', 'P', 'L', 'Q']",D,2,2,0.9092323000004399
24,"['J', 'F', 'N', 'B', 'Y', 'P', 'K']",M,2,2,0.7825198999998975
25,"['J', 'M', 'X', 'D', 'S', 'R', 'N']",M,2,1,1.1588450000017474
26,"['W', 'X', 'J', 'P', 'Y', 'K', 'N']",P,4,1,0.6465572999986762
27,"['M', 'J', 'Y', 'L', 'C', 'K', 'R']",W,2,2,1.6349297000015213
28,"['Y', 'K', 'F', 'J', 'M', 'R', 'C']",M,5,1,0.9701994999995804
29,"['N', 'S', 'X', 'J', 'Z', 'G', 'M']",M,7,1,0.629993899998226
30,"['Z', 'C', 'R', 'S', 'L', 'M', 'B']",H,2,2,0.8228031999969971
