Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['V', 'H', 'M', 'R', 'J', 'P', 'F']",J,5,1,1.7955056999999215
2,"['H', 'G', 'V', 'B', 'S', 'X', 'W']",B,4,1,2.97797509999873
3,"['W', 'N', 'R', 'H', 'D', 'P', 'Q']",N,2,1,4.05042069999763
4,"['H', 'N', 'Q', 'R', 'T', 'M', 'X']",F,4,2,1.2330877000022156
5,"['Q', 'K', 'Y', 'J', 'B', 'C', 'P']",K,2,1,2.350231200001872
6,"['V', 'F', 'B', 'M', 'D', 'S', 'H']",W,4,2,3.5501112999991165
7,"['F', 'P', 'N', 'W', 'T', 'J', 'L']",P,2,0,3.2449792999977944
8,"['Q', 'F', 'D', 'K', 'P', 'C', 'S']",D,3,0,4.98801530000128
9,"['Y', 'C', 'X', 'Z', 'D', 'N', 'F']",D,5,1,1.5466412999994645
10,"['R', 'Q', 'N', 'Z', 'H', 'Y', 'T']",F,4,2,2.018514999999752
11,"['B', 'X', 'T', 'V', 'L', 'R', 'D']",V,4,0,3.0213048000005074
12,"['B', 'F', 'S', 'T', 'W', 'P', 'K']",W,5,1,1.093288299998676
13,"['C', 'B', 'K', 'R', 'Y', 'N', 'P']",L,4,2,1.4082572000006621
14,"['H', 'Z', 'M', 'N', 'S', 'X', 'C']",C,7,1,1.6698615999994217
15,"['V', 'X', 'F', 'Y', 'P', 'K', 'H']",K,6,1,3.5898887000003015
16,"['L', 'H', 'P', 'J', 'M', 'G', 'Z']",K,4,2,1.735244399998919
17,"['Q', 'P', 'T', 'Z', 'W', 'J', 'L']",L,7,1,1.3481117000010272
18,"['F', 'P', 'Q', 'V', 'Y', 'N', 'B']",B,7,1,0.7575771000010718
19,"['Z', 'C', 'T', 'K', 'V', 'B', 'J']",L,4,2,2.820142800002941
20,"['R', 'J', 'D', 'M', 'W', 'V', 'B']",V,6,1,1.095548900000722
21,"['D', 'B', 'S', 'N', 'Q', 'R', 'C']",S,3,0,1.429652000002534
22,"['V', 'X', 'D', 'T', 'K', 'L', 'N']",W,4,2,1.3309646000016073
23,"['N', 'Q', 'V', 'J', 'R', 'W', 'C']",K,4,3,6.448321699997905
24,"['K', 'Z', 'B', 'M', 'R', 'X', 'Y']",K,1,1,1.1005406999975094
25,"['Y', 'H', 'D', 'S', 'X', 'Z', 'R']",Q,4,2,2.0737956999983
26,"['J', 'B', 'P', 'Y', 'Z', 'C', 'V']",J,1,1,1.3232147000016994
27,"['F', 'N', 'W', 'J', 'K', 'D', 'X']",W,3,0,2.6016420000014477
28,"['K', 'B', 'M', 'H', 'R', 'C', 'N']",K,1,1,1.0015832999997656
29,"['Y', 'S', 'W', 'R', 'J', 'H', 'X']",H,6,1,1.3065926000017498
30,"['X', 'M', 'K', 'J', 'Y', 'C', 'F']",J,4,1,0.9187586000007286
