Trial,letras,letra_pregunta,posicion,respuesta,tiempo_rta
1,"['W', 'Q', 'Y', 'K', 'V', 'H', 'N']",N,7,0,2.5114837669971166
2,"['K', 'H', 'L', 'N', 'R', 'J', 'D']",M,2,2,1.6314202890062006
3,"['Q', 'P', 'L', 'W', 'M', 'K', 'X']",W,4,1,0.9504873499972746
4,"['N', 'Q', 'Z', 'M', 'Y', 'V', 'L']",K,2,2,2.7673500750097446
5,"['B', 'K', 'Y', 'S', 'C', 'X', 'R']",R,7,1,1.2901858690020163
6,"['V', 'D', 'R', 'G', 'P', 'H', 'Y']",W,2,2,1.3740804029948777
7,"['H', 'D', 'X', 'T', 'C', 'Y', 'B']",T,4,1,1.7643045770091703
8,"['M', 'N', 'F', 'P', 'K', 'V', 'J']",M,1,1,1.3160250410001026
9,"['H', 'L', 'J', 'N', 'X', 'C', 'P']",J,3,1,1.1023777590016834
10,"['P', 'S', 'L', 'F', 'B', 'R', 'N']",H,2,2,1.3238692510058172
11,"['V', 'Y', 'X', 'F', 'D', 'H', 'C']",V,1,1,1.4295355350041064
12,"['C', 'L', 'K', 'Q', 'Z', 'P', 'B']",R,2,2,1.3561005380033748
13,"['D', 'T', 'W', 'H', 'V', 'F', 'M']",S,2,2,1.7489146489970153
14,"['G', 'B', 'T', 'R', 'W', 'K', 'F']",K,6,1,1.1175662809982896
15,"['V', 'Q', 'Z', 'F', 'P', 'H', 'T']",Q,2,1,1.894934366006055
16,"['G', 'P', 'H', 'W', 'K', 'B', 'Y']",Z,2,2,1.658978803010541
17,"['V', 'W', 'H', 'Y', 'Q', 'M', 'L']",H,3,1,1.0871675770031288
18,"['S', 'P', 'Y', 'N', 'C', 'W', 'K']",T,2,2,1.125933018993237
19,"['K', 'Z', 'J', 'P', 'N', 'W', 'V']",N,5,1,1.3919198180083185
20,"['L', 'T', 'Y', 'F', 'G', 'X', 'W']",X,6,1,1.3811508950020652
21,"['Y', 'B', 'N', 'X', 'D', 'Z', 'G']",P,2,2,1.1105823449906893
22,"['K', 'W', 'M', 'R', 'P', 'Y', 'L']",P,5,1,1.2488049730018247
23,"['N', 'F', 'H', 'T', 'Q', 'C', 'D']",T,4,0,3.174448295001639
24,"['N', 'K', 'M', 'S', 'P', 'R', 'Y']",P,5,1,0.9652422330109403
25,"['B', 'M', 'Z', 'T', 'G', 'P', 'J']",B,1,1,2.57281343700015
26,"['H', 'X', 'P', 'D', 'J', 'Y', 'L']",X,2,0,4.293349094004952
27,"['P', 'L', 'B', 'V', 'Z', 'K', 'H']",B,3,1,1.097019034990808
28,"['F', 'P', 'M', 'S', 'T', 'X', 'J']",J,7,1,1.5721039259951795
29,"['Q', 'G', 'J', 'C', 'L', 'S', 'K']",G,2,1,1.1237704600061988
30,"['N', 'K', 'B', 'C', 'X', 'T', 'Q']",T,6,1,1.2387254339992069
