Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['F', 'C', 'K', 'V', 'X', 'G', 'Y']",C,2,1,1.271565200004261
2,"['Z', 'S', 'Q', 'C', 'H', 'B', 'N']",B,6,1,1.1002620999934152
3,"['W', 'S', 'T', 'Z', 'X', 'Y', 'V']",V,7,0,2.476078499981668
4,"['J', 'N', 'Q', 'B', 'M', 'F', 'P']",J,1,1,2.805484599986812
5,"['Q', 'X', 'B', 'J', 'K', 'Z', 'Y']",Z,6,1,1.2721024999918882
6,"['R', 'T', 'X', 'N', 'V', 'C', 'P']",H,1,3,1.4197892999800388
7,"['H', 'V', 'L', 'K', 'F', 'X', 'J']",V,2,1,1.3866260999930091
8,"['V', 'C', 'J', 'R', 'D', 'B', 'Q']",Q,7,1,0.8612155000155326
9,"['S', 'C', 'Z', 'Q', 'D', 'Y', 'F']",K,1,3,1.2527576000138652
10,"['K', 'L', 'T', 'J', 'R', 'Q', 'Z']",L,2,0,2.244044599996414
11,"['W', 'C', 'X', 'T', 'F', 'M', 'L']",L,7,1,1.734231499984162
12,"['G', 'H', 'L', 'D', 'Y', 'F', 'R']",X,1,2,1.3051577000005636
13,"['V', 'H', 'C', 'R', 'L', 'B', 'F']",L,5,1,0.9649640999850817
14,"['D', 'V', 'C', 'F', 'H', 'T', 'M']",H,5,1,1.446880199975567
15,"['P', 'J', 'F', 'N', 'Z', 'M', 'D']",H,1,2,2.046776700008195
16,"['W', 'T', 'F', 'L', 'C', 'B', 'N']",C,5,1,1.1908188000088558
17,"['J', 'M', 'W', 'X', 'R', 'N', 'L']",N,6,0,1.6237375999917276
18,"['L', 'N', 'H', 'T', 'Z', 'B', 'D']",W,1,2,1.7491589999990538
19,"['T', 'D', 'B', 'C', 'Y', 'K', 'J']",Z,1,2,2.5241938999970444
20,"['L', 'W', 'C', 'D', 'B', 'V', 'X']",D,4,1,1.3438039000029676
21,"['T', 'L', 'Q', 'C', 'J', 'X', 'F']",R,1,2,1.1184189000050537
22,"['N', 'R', 'T', 'Z', 'S', 'C', 'B']",N,1,1,1.064041100005852
23,"['P', 'L', 'X', 'V', 'D', 'S', 'T']",H,1,2,1.6754809000121895
24,"['K', 'M', 'C', 'R', 'Q', 'D', 'J']",G,1,2,2.364224599994486
25,"['V', 'P', 'Z', 'T', 'H', 'S', 'N']",T,4,1,1.105856699985452
26,"['W', 'L', 'H', 'D', 'F', 'B', 'X']",H,3,1,1.1257568000000902
27,"['K', 'F', 'X', 'R', 'M', 'J', 'G']",R,4,1,2.2600277999881655
28,"['Z', 'F', 'C', 'Q', 'L', 'X', 'B']",Z,1,1,1.7939862000057474
29,"['F', 'V', 'N', 'L', 'D', 'G', 'T']",N,3,1,2.9219927999947686
30,"['P', 'Y', 'X', 'B', 'H', 'K', 'M']",X,3,1,1.2203497999871615
