Serie 13-letras,Letra-pregunta,Posición,Respuesta,RT
"['D', 'T', 'Z', 'J', 'Q', 'Y', 'H', 'C', 'S', 'W', 'N', 'V', 'B']",T,2,0,1.0886706999954185
"['H', 'B', 'L', 'Y', 'J', 'Z', 'P', 'C', 'V', 'G', 'K', 'Q', 'N']",F,13,2,1.1320905999964452
"['C', 'F', 'L', 'P', 'H', 'W', 'B', 'T', 'Z', 'G', 'D', 'R', 'V']",C,1,0,1.4457541000010679
"['C', 'X', 'Z', 'R', 'N', 'T', 'L', 'D', 'W', 'G', 'B', 'F', 'H']",L,7,0,0.9309944000051473
"['R', 'G', 'P', 'T', 'Y', 'Z', 'N', 'M', 'V', 'D', 'K', 'J', 'Q']",Y,5,1,1.8357510999994702
"['D', 'T', 'X', 'P', 'M', 'Z', 'C', 'N', 'L', 'Q', 'R', 'Y', 'V']",V,13,1,0.7514673000041512
"['L', 'S', 'Q', 'P', 'V', 'B', 'N', 'Y', 'R', 'F', 'X', 'J', 'Z']",C,13,2,0.8727424000026076
"['T', 'F', 'B', 'D', 'P', 'R', 'Z', 'X', 'V', 'K', 'N', 'C', 'H']",V,9,0,0.8986611000000266
"['S', 'P', 'Z', 'Q', 'D', 'N', 'L', 'X', 'G', 'F', 'H', 'J', 'Y']",X,8,1,2.037390099998447
"['V', 'S', 'M', 'Z', 'R', 'C', 'P', 'H', 'N', 'K', 'J', 'B', 'L']",M,3,0,1.0724208999963594
"['C', 'M', 'W', 'B', 'R', 'V', 'J', 'X', 'Z', 'D', 'K', 'G', 'H']",F,13,2,1.2528281999984756
"['Z', 'D', 'H', 'M', 'T', 'N', 'Y', 'B', 'L', 'W', 'P', 'J', 'Q']",P,11,1,1.2285958000065875
"['K', 'Z', 'C', 'F', 'M', 'V', 'B', 'Q', 'H', 'Y', 'X', 'L', 'R']",J,13,2,1.0603833999994094
"['L', 'R', 'Z', 'V', 'P', 'N', 'D', 'B', 'W', 'F', 'G', 'T', 'M']",M,13,1,0.9045015000010608
"['X', 'M', 'Z', 'W', 'B', 'J', 'G', 'D', 'T', 'P', 'N', 'H', 'K']",X,1,0,1.2330984000000171
"['Q', 'S', 'K', 'R', 'W', 'X', 'J', 'F', 'Z', 'T', 'M', 'N', 'V']",N,12,0,1.2913489999991725
"['K', 'C', 'L', 'R', 'P', 'B', 'T', 'M', 'F', 'X', 'Y', 'D', 'N']",P,5,0,1.5365037000010489
"['Z', 'F', 'K', 'G', 'X', 'W', 'B', 'Q', 'C', 'V', 'N', 'R', 'H']",G,4,1,1.4470577999964007
"['H', 'S', 'N', 'M', 'Y', 'T', 'G', 'D', 'W', 'Z', 'J', 'P', 'L']",D,8,0,1.0249899999980698
"['Y', 'J', 'R', 'Q', 'F', 'T', 'G', 'N', 'X', 'D', 'W', 'S', 'B']",D,10,1,1.388882499995816
"['Q', 'W', 'B', 'V', 'K', 'D', 'H', 'M', 'N', 'G', 'F', 'J', 'Y']",S,13,2,1.446824500002549
"['B', 'C', 'R', 'M', 'H', 'S', 'D', 'K', 'Z', 'N', 'W', 'Q', 'F']",Q,12,0,1.1311752999972668
"['P', 'G', 'N', 'J', 'H', 'C', 'V', 'M', 'S', 'Q', 'L', 'Y', 'W']",G,2,1,1.245076600003813
"['W', 'H', 'F', 'C', 'N', 'X', 'Q', 'V', 'R', 'Z', 'P', 'L', 'B']",Z,10,0,1.0073806000000332
"['R', 'Y', 'G', 'P', 'Z', 'T', 'C', 'D', 'F', 'L', 'K', 'J', 'S']",F,9,1,1.0065202000041609
"['X', 'S', 'Z', 'M', 'Q', 'Y', 'G', 'P', 'B', 'R', 'W', 'K', 'J']",Y,6,0,1.3635184000013396
"['T', 'B', 'G', 'Q', 'Y', 'J', 'Z', 'W', 'M', 'P', 'X', 'H', 'S']",G,3,1,1.2667893000034383
"['J', 'Y', 'H', 'M', 'K', 'X', 'Q', 'G', 'N', 'W', 'D', 'V', 'B']",L,13,2,1.0783590999999433
"['Z', 'B', 'H', 'L', 'J', 'G', 'W', 'S', 'C', 'F', 'Q', 'V', 'T']",K,13,2,1.30465379999805
"['T', 'D', 'R', 'F', 'S', 'P', 'J', 'Y', 'Q', 'V', 'Z', 'C', 'G']",F,4,0,1.5714057000004686
"['C', 'R', 'Q', 'N', 'F', 'M', 'V', 'B', 'Y', 'S', 'L', 'H', 'J']",M,6,1,1.3853900999965845
"['C', 'B', 'L', 'D', 'K', 'F', 'H', 'Y', 'R', 'G', 'N', 'T', 'V']",X,13,2,1.0796114000040689
"['N', 'Z', 'M', 'L', 'V', 'H', 'P', 'J', 'W', 'C', 'Y', 'Q', 'X']",S,13,2,0.9393311999956495
"['M', 'Q', 'B', 'T', 'D', 'Y', 'F', 'H', 'R', 'G', 'V', 'L', 'K']",V,11,0,1.544660899999144
"['B', 'Z', 'P', 'D', 'R', 'V', 'M', 'L', 'H', 'C', 'N', 'J', 'S']",M,7,0,0.9645075000007637
