Serie 13-letras,Letra-pregunta,Posición,Respuesta,RT
['L', 'N', 'V', 'Y', 'B', 'M', 'P', 'D', 'X', 'K', 'F', 'H', 'T'],Z,3,2,1.1379315000012866
['B', 'S', 'H', 'W', 'P', 'F', 'X', 'J', 'Y', 'M', 'K', 'G', 'C'],W,4,0,0.9296465999941574
['L', 'M', 'N', 'Y', 'Z', 'T', 'D', 'J', 'W', 'X', 'H', 'S', 'Q'],D,7,1,1.0767801000038162
['W', 'Q', 'P', 'K', 'Y', 'L', 'X', 'F', 'B', 'J', 'H', 'G', 'S'],J,10,1,1.2898365000000922
['S', 'T', 'C', 'L', 'F', 'H', 'W', 'X', 'V', 'K', 'R', 'N', 'D'],X,8,1,0.6042595999970217
['D', 'T', 'C', 'X', 'M', 'G', 'H', 'Z', 'Y', 'R', 'P', 'V', 'L'],M,5,0,1.9063535999957821
['C', 'P', 'R', 'B', 'L', 'K', 'M', 'H', 'F', 'Q', 'N', 'T', 'X'],B,4,0,0.683896199996525
['C', 'P', 'M', 'K', 'X', 'Q', 'Z', 'F', 'B', 'J', 'L', 'V', 'G'],N,3,2,1.0637272000021767
['R', 'W', 'K', 'J', 'Z', 'B', 'L', 'T', 'V', 'N', 'G', 'C', 'Y'],R,1,0,4.1479713000007905
['P', 'S', 'T', 'B', 'N', 'W', 'V', 'X', 'Y', 'R', 'L', 'Z', 'K'],Q,3,2,1.0492497999948682
['F', 'J', 'Z', 'S', 'G', 'H', 'Y', 'B', 'M', 'P', 'W', 'C', 'T'],T,13,1,0.9507047000006423
['M', 'S', 'Y', 'F', 'H', 'W', 'P', 'G', 'T', 'B', 'L', 'C', 'D'],T,9,1,0.8318155000015395
['S', 'K', 'P', 'W', 'D', 'G', 'J', 'N', 'Y', 'C', 'V', 'X', 'F'],T,3,3,1.8342883999939659
['M', 'Q', 'X', 'T', 'H', 'Z', 'C', 'J', 'W', 'P', 'D', 'L', 'G'],Q,2,1,3.475240699997812
['V', 'Z', 'X', 'S', 'K', 'T', 'N', 'C', 'L', 'Y', 'Q', 'J', 'D'],Y,10,1,0.8026081999996677
['M', 'K', 'J', 'D', 'Z', 'Y', 'G', 'B', 'N', 'X', 'W', 'C', 'F'],K,2,0,1.4810820999991847
['C', 'M', 'Y', 'W', 'Q', 'G', 'F', 'B', 'R', 'K', 'S', 'N', 'L'],Y,3,1,1.6133737999989535
['M', 'N', 'P', 'W', 'G', 'H', 'X', 'T', 'V', 'S', 'F', 'Y', 'R'],G,5,1,0.8624880999996094
['Q', 'X', 'L', 'V', 'J', 'H', 'N', 'R', 'D', 'W', 'P', 'C', 'M'],Z,3,2,0.9038112999987788
['Z', 'Y', 'F', 'Q', 'G', 'S', 'V', 'X', 'J', 'L', 'M', 'N', 'H'],M,11,1,0.9503500000064378
['Z', 'J', 'H', 'F', 'K', 'L', 'R', 'X', 'C', 'W', 'Y', 'P', 'S'],C,9,0,0.7939938000054099
['F', 'G', 'K', 'D', 'X', 'B', 'Z', 'C', 'H', 'Y', 'W', 'N', 'V'],N,12,0,1.007917599999928
['C', 'T', 'G', 'M', 'K', 'D', 'X', 'V', 'Q', 'Y', 'P', 'J', 'W'],G,3,1,0.8951022000037483
['C', 'T', 'G', 'B', 'Q', 'Z', 'W', 'X', 'P', 'V', 'D', 'N', 'J'],C,1,0,0.8424851999952807
['N', 'L', 'B', 'P', 'G', 'V', 'W', 'S', 'F', 'H', 'M', 'X', 'Y'],V,6,1,4.38157130000036
['W', 'M', 'H', 'J', 'S', 'F', 'N', 'B', 'X', 'C', 'V', 'D', 'R'],K,3,2,0.7462132000000565
['T', 'H', 'P', 'D', 'N', 'X', 'M', 'J', 'Q', 'Z', 'K', 'R', 'C'],X,6,1,1.1868126999979722
['Y', 'N', 'S', 'R', 'P', 'Q', 'H', 'F', 'L', 'Z', 'D', 'W', 'C'],W,12,1,0.7137136999954237
['T', 'P', 'G', 'C', 'J', 'S', 'Q', 'L', 'H', 'W', 'N', 'V', 'D'],L,8,1,0.682765899997321
['K', 'L', 'S', 'Q', 'V', 'G', 'C', 'W', 'H', 'Y', 'B', 'J', 'F'],M,3,2,6.465418700005102
['F', 'M', 'R', 'Q', 'J', 'V', 'D', 'W', 'S', 'P', 'Z', 'T', 'X'],C,3,3,0.940183499995328
['C', 'W', 'H', 'Z', 'M', 'P', 'S', 'J', 'D', 'K', 'G', 'L', 'R'],Q,3,2,0.9567508000036469
['Q', 'M', 'C', 'J', 'K', 'P', 'L', 'D', 'X', 'Z', 'B', 'S', 'H'],L,7,1,0.8635885999974562
['K', 'Z', 'M', 'V', 'L', 'B', 'F', 'R', 'T', 'Y', 'J', 'C', 'X'],X,13,1,0.5712977000002866
['S', 'W', 'R', 'D', 'Q', 'B', 'T', 'Y', 'F', 'V', 'H', 'M', 'J'],H,11,1,0.5710853999989922
