Serie 10-letras,Letra-pregunta,Posición,Respuesta,RT
"['K', 'V', 'P', 'G', 'L', 'M', 'N', 'S', 'Y', 'Q']",J,5,2,1.742810699972324
"['S', 'R', 'X', 'N', 'T', 'W', 'L', 'J', 'G', 'H']",N,4,0,1.2364486999576911
"['Q', 'S', 'V', 'Z', 'H', 'X', 'W', 'N', 'K', 'F']",Q,1,0,1.6983739000279456
"['T', 'W', 'G', 'J', 'F', 'K', 'P', 'Q', 'L', 'R']",M,5,2,1.1865105000324547
"['B', 'Y', 'T', 'R', 'W', 'D', 'X', 'P', 'S', 'V']",P,8,1,1.0426327999448404
"['N', 'X', 'T', 'C', 'Y', 'V', 'J', 'M', 'F', 'W']",F,9,1,0.9543069999199361
"['T', 'S', 'N', 'R', 'B', 'F', 'G', 'Y', 'W', 'J']",T,1,0,1.3008359000086784
"['S', 'V', 'B', 'L', 'R', 'G', 'Z', 'T', 'Q', 'K']",F,5,2,1.0454747000476345
"['D', 'G', 'M', 'R', 'Z', 'V', 'H', 'N', 'B', 'F']",J,5,2,1.5816578000085428
"['L', 'F', 'C', 'J', 'S', 'M', 'H', 'R', 'B', 'N']",M,6,0,1.0844116000225767
"['N', 'K', 'V', 'F', 'X', 'L', 'Y', 'J', 'B', 'M']",Y,7,0,1.046350899967365
"['G', 'N', 'V', 'Y', 'C', 'F', 'R', 'L', 'Z', 'K']",M,5,2,1.1278231999604031
"['N', 'G', 'J', 'Q', 'K', 'D', 'B', 'R', 'S', 'C']",F,5,3,1.1719835000112653
"['M', 'H', 'S', 'Q', 'F', 'X', 'W', 'R', 'C', 'K']",T,5,2,0.9090442999731749
"['Y', 'J', 'X', 'D', 'C', 'N', 'K', 'S', 'W', 'G']",G,10,1,0.707892700098455
"['Y', 'J', 'R', 'H', 'C', 'S', 'F', 'L', 'B', 'Z']",R,3,0,1.0481261999811977
"['N', 'M', 'R', 'V', 'P', 'Q', 'Y', 'L', 'C', 'H']",T,5,2,0.9643731999676675
"['V', 'T', 'W', 'Z', 'S', 'J', 'P', 'G', 'M', 'Y']",S,5,0,1.2331139000598341
"['X', 'S', 'W', 'P', 'Q', 'J', 'K', 'F', 'M', 'R']",J,6,1,0.9128600000403821
"['D', 'V', 'Y', 'K', 'L', 'Q', 'J', 'M', 'C', 'T']",V,2,0,1.1040604000445455
"['J', 'P', 'H', 'W', 'M', 'B', 'F', 'R', 'D', 'V']",H,3,0,1.1865085000172257
"['L', 'V', 'D', 'K', 'G', 'C', 'T', 'B', 'X', 'M']",W,5,2,0.9355608000187203
"['B', 'Y', 'J', 'X', 'N', 'K', 'D', 'W', 'R', 'G']",W,8,1,0.9776960000162944
"['C', 'Y', 'N', 'S', 'V', 'R', 'D', 'B', 'L', 'H']",D,7,1,0.799364099977538
"['G', 'X', 'Y', 'B', 'L', 'Q', 'K', 'M', 'R', 'N']",L,5,1,0.8028318999568
"['F', 'L', 'R', 'S', 'Y', 'Z', 'M', 'K', 'J', 'X']",L,2,1,1.06336959998589
"['R', 'M', 'D', 'Q', 'G', 'N', 'P', 'S', 'H', 'L']",K,5,2,1.0472670999588445
"['K', 'S', 'B', 'Y', 'G', 'D', 'L', 'Q', 'P', 'N']",N,10,0,1.207170300069265
"['Y', 'R', 'B', 'V', 'N', 'X', 'C', 'H', 'F', 'J']",F,9,1,1.0028389999642968
"['B', 'J', 'F', 'X', 'W', 'Q', 'C', 'P', 'Z', 'G']",X,4,0,1.0630213000113145
