Serie 10-letras,Letra-pregunta,Posición,Respuesta,RT
"['W', 'C', 'D', 'X', 'Q', 'G', 'V', 'F', 'R', 'M']",K,5,2,1.7976748999208212
"['S', 'N', 'Q', 'G', 'C', 'K', 'Y', 'M', 'R', 'B']",B,10,1,0.9715293999761343
"['J', 'G', 'S', 'L', 'N', 'V', 'C', 'P', 'T', 'B']",H,5,2,1.1747819000156596
"['B', 'J', 'Q', 'W', 'Y', 'M', 'K', 'V', 'N', 'P']",M,6,0,1.7532487000571564
"['F', 'M', 'Y', 'G', 'W', 'B', 'C', 'Z', 'L', 'R']",B,6,1,1.1588326999917626
"['C', 'J', 'L', 'X', 'G', 'H', 'K', 'Y', 'V', 'M']",R,5,2,0.9612718999851495
"['M', 'R', 'T', 'G', 'N', 'C', 'L', 'H', 'V', 'Z']",H,8,1,1.0971496000420302
"['S', 'Y', 'D', 'T', 'G', 'N', 'B', 'J', 'P', 'H']",H,10,1,0.8104579999344423
"['C', 'L', 'S', 'R', 'N', 'W', 'Q', 'X', 'G', 'B']",S,3,1,0.8545915000140667
"['L', 'Q', 'T', 'G', 'B', 'V', 'P', 'K', 'Z', 'S']",Z,9,1,0.7306750999996439
"['H', 'K', 'T', 'P', 'Q', 'B', 'X', 'R', 'V', 'M']",P,4,0,0.9059218000620604
"['G', 'R', 'H', 'B', 'T', 'V', 'S', 'P', 'N', 'L']",H,3,0,2.345461199991405
"['S', 'C', 'Y', 'J', 'V', 'N', 'Q', 'H', 'G', 'M']",S,1,1,2.141210800036788
"['Z', 'M', 'T', 'V', 'R', 'K', 'B', 'Y', 'W', 'H']",V,4,1,0.9286858000559732
"['F', 'Q', 'N', 'S', 'Z', 'R', 'T', 'W', 'Y', 'C']",F,1,0,0.8943678999785334
"['H', 'X', 'T', 'W', 'D', 'Y', 'L', 'B', 'F', 'Z']",X,2,0,0.8910137000493705
"['B', 'N', 'X', 'S', 'H', 'T', 'Q', 'J', 'G', 'K']",W,5,2,0.8107213999610394
"['J', 'H', 'T', 'V', 'D', 'F', 'C', 'W', 'M', 'P']",W,8,1,1.1949248999590054
"['Q', 'B', 'V', 'G', 'S', 'Y', 'D', 'W', 'H', 'Z']",J,5,2,0.8923094000201672
"['H', 'P', 'Z', 'F', 'C', 'G', 'W', 'N', 'Y', 'X']",C,5,0,0.7156109999632463
"['Y', 'B', 'N', 'K', 'S', 'V', 'W', 'F', 'Z', 'Q']",J,5,2,0.7440084000118077
"['S', 'B', 'W', 'G', 'Y', 'P', 'V', 'M', 'F', 'T']",V,7,0,3.074432000052184
"['L', 'Q', 'N', 'J', 'F', 'T', 'D', 'M', 'S', 'C']",W,5,2,1.5021785999415442
"['F', 'T', 'B', 'J', 'S', 'K', 'C', 'M', 'V', 'H']",Y,5,2,0.9849367000861093
"['W', 'Z', 'C', 'H', 'V', 'Q', 'J', 'N', 'D', 'R']",D,9,1,1.3041295999428257
"['C', 'N', 'X', 'P', 'B', 'H', 'R', 'M', 'S', 'D']",G,5,2,0.7807109000859782
"['H', 'N', 'T', 'X', 'S', 'M', 'Y', 'K', 'Z', 'B']",Y,7,1,1.2306935999076813
"['R', 'G', 'K', 'B', 'Z', 'X', 'T', 'J', 'H', 'V']",G,2,0,1.4693776000058278
"['S', 'M', 'T', 'P', 'V', 'K', 'F', 'W', 'H', 'G']",V,5,1,2.163876899983734
"['X', 'R', 'V', 'Y', 'T', 'C', 'Z', 'L', 'D', 'Q']",K,5,2,1.1330067000817508
