Serie 13-letras,Letra-pregunta,Posición,Respuesta,RT
"['Y', 'Q', 'P', 'M', 'K', 'W', 'D', 'R', 'S', 'X', 'T', 'J', 'B']",T,11,1,0.8972794000292197
"['D', 'W', 'F', 'T', 'J', 'G', 'C', 'V', 'R', 'N', 'P', 'L', 'Y']",R,9,1,1.6797385000390932
"['J', 'R', 'P', 'S', 'C', 'B', 'Q', 'V', 'N', 'H', 'F', 'Y', 'X']",P,3,0,0.9926293999888003
"['P', 'G', 'C', 'N', 'H', 'B', 'S', 'W', 'X', 'K', 'Z', 'F', 'L']",H,5,0,1.8270756000420079
"['R', 'T', 'X', 'G', 'D', 'M', 'Y', 'L', 'K', 'Q', 'V', 'W', 'B']",L,8,1,0.8669803000520915
"['Y', 'Z', 'K', 'M', 'N', 'W', 'Q', 'D', 'X', 'F', 'P', 'G', 'H']",Y,1,0,1.0154826999641955
"['X', 'P', 'Q', 'N', 'S', 'V', 'D', 'J', 'Z', 'H', 'G', 'F', 'K']",D,7,0,0.9190250999527052
"['T', 'K', 'D', 'J', 'B', 'C', 'F', 'W', 'G', 'X', 'Q', 'Z', 'Y']",S,10,3,1.190390499890782
"['F', 'B', 'K', 'T', 'N', 'Q', 'J', 'H', 'D', 'V', 'X', 'W', 'C']",Z,10,2,1.2939081999938935
"['F', 'K', 'Z', 'H', 'W', 'Y', 'X', 'N', 'B', 'R', 'S', 'M', 'Q']",D,10,2,1.1004140001023188
"['W', 'M', 'C', 'Q', 'B', 'D', 'S', 'Y', 'V', 'H', 'L', 'J', 'R']",D,6,0,1.020705800037831
"['Q', 'S', 'P', 'F', 'X', 'L', 'R', 'M', 'D', 'Y', 'Z', 'V', 'B']",B,13,1,0.8786391000030562
"['Z', 'Y', 'P', 'J', 'W', 'D', 'M', 'R', 'V', 'H', 'G', 'K', 'T']",H,10,1,1.1693865000270307
"['D', 'K', 'R', 'T', 'N', 'Q', 'V', 'G', 'Y', 'P', 'L', 'M', 'J']",X,10,2,1.1982748999726027
"['Z', 'F', 'H', 'K', 'Q', 'B', 'W', 'C', 'R', 'J', 'N', 'S', 'M']",G,10,3,0.8729253000346944
"['L', 'T', 'Z', 'X', 'W', 'N', 'M', 'Q', 'P', 'S', 'J', 'Y', 'F']",T,2,0,2.2051385999657214
"['J', 'X', 'F', 'P', 'K', 'Z', 'C', 'S', 'B', 'G', 'T', 'L', 'Q']",W,10,2,0.8844052000204101
"['D', 'B', 'H', 'Z', 'C', 'K', 'W', 'R', 'M', 'Q', 'J', 'P', 'L']",T,10,2,1.4603361000772566
"['J', 'Y', 'Q', 'T', 'L', 'H', 'Z', 'R', 'W', 'D', 'B', 'V', 'C']",Q,3,0,0.7805647000204772
"['R', 'H', 'B', 'S', 'K', 'V', 'G', 'Y', 'C', 'Q', 'M', 'N', 'L']",N,12,1,1.277347500086762
"['Q', 'J', 'N', 'F', 'G', 'B', 'K', 'P', 'H', 'R', 'T', 'L', 'X']",P,8,0,0.8417330000083894
"['L', 'X', 'W', 'P', 'J', 'Y', 'Z', 'V', 'G', 'K', 'R', 'N', 'D']",M,10,2,0.9731696000089869
"['Q', 'J', 'W', 'M', 'P', 'R', 'L', 'X', 'H', 'N', 'T', 'C', 'Y']",Y,13,1,0.8547729999991134
"['Q', 'G', 'P', 'Y', 'Z', 'X', 'V', 'W', 'C', 'F', 'R', 'D', 'N']",G,2,1,1.5477785000111908
"['B', 'Y', 'H', 'N', 'V', 'W', 'T', 'X', 'R', 'G', 'P', 'J', 'C']",J,12,0,0.6538346000015736
"['X', 'F', 'W', 'N', 'J', 'C', 'D', 'Q', 'G', 'L', 'V', 'P', 'S']",D,7,0,0.836419100058265
"['Q', 'J', 'D', 'H', 'T', 'N', 'Z', 'F', 'P', 'W', 'M', 'B', 'R']",H,4,0,1.079341199947521
"['J', 'R', 'T', 'S', 'Y', 'M', 'W', 'K', 'F', 'Z', 'G', 'P', 'B']",F,9,1,0.813033499987796
"['X', 'L', 'M', 'Y', 'W', 'R', 'D', 'Z', 'P', 'G', 'B', 'K', 'N']",Y,4,0,1.3789727000985295
"['R', 'X', 'N', 'Q', 'Z', 'L', 'V', 'M', 'G', 'B', 'C', 'F', 'J']",R,1,0,0.9034186000935733
"['K', 'R', 'N', 'Y', 'D', 'J', 'P', 'C', 'B', 'F', 'W', 'G', 'S']",J,6,1,0.5612251999555156
"['R', 'B', 'J', 'Y', 'P', 'Z', 'K', 'W', 'S', 'Q', 'D', 'T', 'M']",H,10,3,0.5525203000288457
"['T', 'K', 'R', 'S', 'Y', 'D', 'Z', 'P', 'H', 'C', 'M', 'Q', 'L']",M,11,1,1.0057753999717534
"['V', 'P', 'Y', 'G', 'C', 'H', 'D', 'Z', 'J', 'B', 'T', 'K', 'N']",B,10,1,0.9767352000344545
"['S', 'G', 'B', 'H', 'Y', 'M', 'F', 'Z', 'D', 'V', 'N', 'L', 'K']",Y,5,0,1.0115158000262454
