Serie 7-letras,Letra-pregunta,Posición,Respuesta,RT
"['B', 'G', 'F', 'Q', 'V', 'L', 'K']",R,4,2,1.348405799944885
"['Z', 'S', 'L', 'T', 'V', 'N', 'X']",L,3,1,1.1591565000126138
"['R', 'B', 'H', 'V', 'P', 'T', 'N']",N,7,1,1.3971844000043347
"['S', 'R', 'C', 'B', 'Y', 'W', 'D']",P,4,2,1.3630329000297934
"['J', 'R', 'X', 'V', 'C', 'S', 'D']",F,4,2,1.2416665999917313
"['S', 'Z', 'D', 'R', 'X', 'F', 'W']",L,4,2,1.0383325000293553
"['Z', 'X', 'N', 'F', 'J', 'P', 'D']",N,3,1,1.2784462000709027
"['T', 'Z', 'L', 'C', 'R', 'G', 'D']",Z,2,0,1.2188491000561044
"['Q', 'V', 'C', 'D', 'H', 'T', 'P']",T,6,1,1.1299248000141233
"['N', 'T', 'G', 'B', 'X', 'S', 'V']",L,4,2,0.9688851999817416
"['S', 'F', 'K', 'G', 'V', 'Z', 'L']",S,1,1,2.307816799962893
"['D', 'G', 'T', 'Q', 'K', 'Z', 'L']",L,7,1,0.8087524001020938
"['Z', 'Q', 'C', 'H', 'N', 'R', 'M']",H,4,1,1.4404180999845266
"['F', 'Z', 'M', 'Q', 'H', 'T', 'C']",H,5,1,0.9394622999243438
"['G', 'J', 'C', 'L', 'V', 'T', 'F']",L,4,1,0.8741324000293389
"['Y', 'M', 'H', 'D', 'N', 'T', 'S']",D,4,1,0.8561992000322789
"['T', 'Q', 'L', 'D', 'J', 'X', 'W']",J,5,1,0.9502587000606582
"['P', 'K', 'J', 'Y', 'F', 'G', 'W']",C,4,2,1.5512816000264138
"['X', 'T', 'L', 'K', 'Z', 'R', 'V']",R,6,1,0.9250471000559628
"['G', 'J', 'T', 'Z', 'N', 'X', 'M']",G,1,1,0.8620516998926178
"['W', 'Y', 'Q', 'T', 'H', 'Z', 'G']",Z,6,1,0.6790463000070304
"['X', 'F', 'Y', 'J', 'S', 'G', 'C']",Y,3,1,0.749579899944365
"['Z', 'W', 'K', 'Q', 'S', 'L', 'D']",S,5,1,0.7193073999369517
"['P', 'H', 'R', 'V', 'D', 'K', 'S']",J,4,2,1.462085200008005
"['Z', 'G', 'R', 'Y', 'W', 'X', 'B']",G,2,0,1.6179493999807164
"['Q', 'P', 'C', 'T', 'W', 'Z', 'H']",G,4,3,0.8822519000386819
"['Q', 'G', 'N', 'T', 'P', 'B', 'H']",G,2,1,0.9539282999467105
"['L', 'P', 'B', 'C', 'D', 'F', 'V']",J,4,2,1.024208499933593
"['Z', 'B', 'D', 'R', 'L', 'W', 'H']",Z,1,1,0.718073399970308
"['Z', 'M', 'N', 'H', 'V', 'W', 'Q']",Q,7,1,0.8919569000136107
