Serie 7-letras,Letra-pregunta,Posición,Respuesta,RT
"['Y', 'K', 'T', 'N', 'J', 'Z', 'W']",P,4,2,2.0655877999961376
"['B', 'F', 'Q', 'G', 'Z', 'S', 'V']",B,1,1,1.2846162000205368
"['T', 'M', 'P', 'G', 'B', 'V', 'N']",B,5,1,1.5895746999885887
"['P', 'K', 'V', 'L', 'W', 'D', 'R']",X,4,2,1.4534014998935163
"['C', 'V', 'L', 'H', 'M', 'Q', 'N']",X,4,2,1.7658685999922454
"['S', 'W', 'K', 'M', 'Y', 'D', 'J']",D,6,0,1.6024321999866515
"['B', 'J', 'N', 'M', 'C', 'Z', 'P']",N,3,1,1.3637368999188766
"['C', 'G', 'Z', 'H', 'N', 'J', 'B']",J,6,1,1.614481500000693
"['N', 'Y', 'W', 'F', 'C', 'G', 'J']",F,4,1,1.5643489999929443
"['B', 'L', 'K', 'G', 'C', 'J', 'V']",P,4,2,1.4012392000295222
"['P', 'V', 'G', 'T', 'F', 'M', 'Q']",F,5,1,1.3219269999535754
"['P', 'J', 'K', 'R', 'T', 'D', 'B']",K,3,1,1.5196035999106243
"['L', 'G', 'C', 'V', 'P', 'R', 'B']",G,2,1,1.359905100078322
"['K', 'L', 'T', 'N', 'Q', 'D', 'R']",N,4,0,1.8581979000009596
"['C', 'F', 'B', 'J', 'H', 'V', 'S']",L,4,2,1.1845031999982893
"['Q', 'B', 'K', 'L', 'H', 'S', 'F']",B,2,1,1.4737318999832496
"['D', 'S', 'M', 'W', 'T', 'Z', 'G']",C,4,3,1.9148794999346137
"['D', 'B', 'Q', 'V', 'M', 'K', 'S']",W,4,2,2.229882000014186
"['L', 'N', 'G', 'V', 'F', 'J', 'B']",V,4,1,1.477133300038986
"['N', 'F', 'M', 'K', 'T', 'L', 'Y']",N,1,1,1.4776302999816835
"['P', 'R', 'X', 'N', 'G', 'V', 'Y']",D,4,2,1.5152413999894634
"['H', 'D', 'B', 'Q', 'L', 'J', 'R']",H,1,1,1.3406894999789074
"['S', 'P', 'H', 'Y', 'N', 'T', 'M']",M,7,1,1.364342899993062
"['J', 'S', 'H', 'N', 'Y', 'P', 'T']",Y,5,1,1.48639369988814
"['B', 'Z', 'T', 'X', 'L', 'R', 'Y']",Z,2,1,1.279316799947992
"['K', 'B', 'T', 'R', 'X', 'S', 'M']",S,6,1,1.4324689999921247
"['F', 'B', 'K', 'J', 'X', 'W', 'Z']",K,3,1,1.3213251999113709
"['X', 'G', 'J', 'F', 'L', 'M', 'B']",B,7,1,1.7839813999598846
"['L', 'J', 'F', 'N', 'C', 'P', 'Z']",Z,7,1,1.116336099919863
"['K', 'M', 'T', 'W', 'N', 'H', 'S']",Z,4,2,1.2439797999104485
