Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['G', 'K', 'Z', 'H', 'J', 'P', 'R', 'W', 'X', 'B']",W,8,1,2.2979976999999963
2,"['B', 'J', 'R', 'P', 'Y', 'F', 'Q', 'W', 'T', 'C']",N,5,2,1.2412779000001137
3,"['R', 'T', 'C', 'H', 'J', 'K', 'W', 'F', 'P', 'D']",G,5,3,0.8029363000000558
4,"['J', 'N', 'M', 'C', 'L', 'Y', 'G', 'R', 'D', 'T']",P,5,3,0.2968020999996952
5,"['G', 'M', 'Y', 'D', 'K', 'C', 'Z', 'R', 'T', 'B']",B,10,1,1.1794401000001926
6,"['N', 'J', 'M', 'Q', 'T', 'Y', 'S', 'Z', 'C', 'D']",W,5,2,0.6281579999999849
7,"['B', 'S', 'L', 'R', 'G', 'X', 'T', 'N', 'F', 'V']",R,4,1,0.861257999999907
8,"['Z', 'X', 'P', 'K', 'G', 'L', 'Y', 'N', 'R', 'T']",K,4,1,0.26481879999982993
9,"['D', 'Z', 'Q', 'N', 'R', 'H', 'X', 'L', 'F', 'V']",W,5,3,0.34428139999999985
10,"['P', 'H', 'Y', 'L', 'D', 'N', 'B', 'V', 'W', 'M']",Y,3,1,0.30490599999984624
11,"['G', 'P', 'W', 'Z', 'D', 'C', 'H', 'M', 'F', 'Q']",C,6,1,1.1084487999996782
12,"['J', 'H', 'D', 'T', 'M', 'R', 'V', 'F', 'G', 'B']",J,1,0,1.197439900000063
13,"['S', 'D', 'H', 'T', 'W', 'P', 'N', 'Q', 'M', 'G']",M,9,1,2.0546441999999843
14,"['S', 'R', 'Q', 'P', 'C', 'B', 'F', 'N', 'D', 'Z']",D,9,1,0.9549111999999695
15,"['P', 'N', 'W', 'K', 'V', 'Y', 'C', 'M', 'X', 'Z']",C,7,0,1.4052216000000044
16,"['Z', 'R', 'V', 'D', 'C', 'J', 'G', 'M', 'F', 'L']",S,5,2,1.1358923999996478
17,"['N', 'R', 'T', 'H', 'D', 'C', 'F', 'X', 'V', 'G']",K,5,2,1.1851213999998436
18,"['R', 'G', 'T', 'L', 'Z', 'N', 'H', 'J', 'Q', 'S']",Z,5,1,1.0477246999998897
19,"['X', 'K', 'G', 'P', 'S', 'L', 'R', 'C', 'J', 'N']",Q,5,2,1.0047358000001623
20,"['K', 'G', 'P', 'X', 'N', 'V', 'Q', 'H', 'Y', 'R']",R,10,1,0.9261204999997972
21,"['G', 'Z', 'K', 'J', 'B', 'L', 'R', 'D', 'F', 'P']",V,5,2,1.1778441000001294
22,"['X', 'P', 'Z', 'R', 'G', 'V', 'Y', 'C', 'D', 'F']",C,8,0,2.988344899999902
23,"['K', 'Y', 'L', 'G', 'R', 'S', 'Z', 'N', 'Q', 'H']",L,3,1,0.09936539999989691
24,"['J', 'P', 'R', 'K', 'F', 'W', 'S', 'T', 'M', 'X']",J,1,0,0.6396996000003128
25,"['D', 'Z', 'C', 'P', 'K', 'N', 'Y', 'M', 'S', 'V']",Z,2,1,0.3727025000002868
26,"['Q', 'S', 'Z', 'G', 'B', 'K', 'J', 'L', 'V', 'T']",S,2,0,0.24331870000014533
27,"['T', 'K', 'J', 'X', 'C', 'D', 'R', 'Z', 'M', 'B']",C,5,0,0.25619689999984985
28,"['R', 'L', 'N', 'H', 'Q', 'J', 'C', 'Y', 'T', 'F']",C,7,0,0.29732609999973647
29,"['Z', 'B', 'L', 'W', 'H', 'P', 'Q', 'C', 'K', 'R']",T,5,2,0.22155909999992218
30,"['K', 'G', 'X', 'B', 'T', 'H', 'J', 'W', 'L', 'P']",H,6,0,0.26730559999987236
